1983년~1988년 야구선수 데이터,,,,,데이터 출처: STATIZ,,,1985년 중심으로 연봉,,,,,,,,,,,
선수명,팀,완투,완봉,선발,승,패,세,이닝,실점,자책,홈런,볼넷,삼진,폭투,ERA,FIP,WHIP,WAR,연봉(만 원)
최동원,롯데,17,4,21,19,14,2,267,60,46,7,55,208,2,1.55,1.49,0.97,11.74,8100
김일융,삼성,14,3,23,16,10,3,222,68,56,7,78,155,5,2.27,2.24,1.21,7.44,5258
최일언,OB,12,6,23,19,4,2,221.2,49,39,2,101,101,3,1.58,2.69,1.09,6.75,3125
황규봉,삼성,5,1,14,6,4,3,130,66,53,10,36,45,4,3.67,3.33,1.32,1.84,3200
이선희,삼성,3,1,19,5,13,0,127,66,53,17,59,56,3,3.76,4.45,1.43,0.71,1800
김용남,해태,6,2,21,7,11,1,132.2,58,45,10,19,68,1,3.05,2.55,1.15,2.9,2100
조도연,해태,3,0,12,4,6,2,129.1,61,48,11,44,63,9,3.34,3.34,1.28,1.88,1200
김정행,롯데,4,2,15,8,4,0,94,43,38,3,50,29,2,3.64,4.07,1.4,1.55,5100
하기룡,MBC,4,0,12,5,10,2,111,46,36,3,53,31,3,2.92,3.5,1.41,1.83,2500
임호균,삼미,15,1,29,12,15,2,234.2,94,79,16,52,86,1,3.03,2.94,1.21,5.23,2400
이상군,빙그레,3,1,8,10,3,16,135,38,36,7,22,47,2,2.4,3.07,1.05,5.13,2200
