,2015~2020 야구선수,,,데이터 출처: STATIZ,,,"롯데,삼성,해태",,,,,,,,,,,,,,,,,,,,,,,,,
선수명,연도,팀,나이,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WAR,연봉(만 원)
오현택,2018,롯데,33,72,0,0,0,3,2,0,25,64.2,32,27,268,66,9,0,11,12,0,3,63,1,2,3.76,4.79,1.21,138.8,109.3,1.64,6000
오현택,2019,롯데,34,15,0,0,0,1,0,0,0,12.2,9,7,56,15,1,0,6,2,1,1,8,0,0,4.97,8.77,1.34,84.3,48.3,-0.05,6000
오현택,2020,롯데,35,48,0,0,0,3,1,0,7,36,15,15,152,37,6,1,5,8,1,2,17,0,1,3.75,5.17,1.25,129.9,92.9,1.04,6000
김대우,2018,롯데,34,5,0,0,0,0,0,0,0,3.1,5,5,19,8,2,0,2,1,0,0,2,0,1,13.5,11.33,2.7,38.6,46.3,-0.1,2900
김대우,2020,롯데,36,46,0,0,1,0,1,0,0,49.1,22,17,216,48,11,0,1,26,1,2,43,1,5,3.1,3.72,1.5,157.1,128.4,1.15,2900
김원중,2015,롯데,22,15,0,0,0,0,0,0,1,20.1,15,13,99,21,0,1,1,15,1,3,20,0,1,5.75,4.8,1.77,87.6,101.2,0.05,3600
김원중,2016,롯데,23,3,0,0,2,0,1,0,0,7.2,8,8,37,7,1,0,2,8,0,0,5,0,1,9.39,9.01,1.96,55.6,58.2,-0.13,3600
김원중,2017,롯데,24,24,0,0,24,7,8,0,0,107.1,71,68,507,130,21,2,13,56,0,10,87,0,8,5.7,5.53,1.73,88.4,90.9,0.85,3000
김원중,2018,롯데,25,30,0,0,30,8,7,0,0,145.1,115,112,681,173,37,2,28,77,1,11,137,0,7,6.94,6.25,1.72,75.2,83.7,0.02,6300
김원중,2019,롯데,26,28,0,0,17,5,10,0,1,102.1,75,65,485,127,21,1,13,47,1,6,93,0,6,5.72,4.76,1.7,73.3,88.2,-0.36,6300
김원중,2020,롯데,27,58,0,0,0,5,4,25,0,59.1,29,26,249,52,14,1,8,23,5,0,57,0,1,3.94,4.3,1.26,123.5,111.8,1.61,10000
진명호,2017,롯데,28,4,0,0,0,0,0,0,0,5,0,0,20,1,0,0,0,5,0,0,7,0,1,0,3.94,1.2,,127,0.22,5000
진명호,2018,롯데,29,60,0,0,0,5,4,1,9,61.2,34,30,282,53,19,0,7,46,6,1,65,0,3,4.38,5.2,1.61,119.1,100.7,1.19,3300
진명호,2019,롯데,30,60,0,0,0,3,2,0,9,63.1,24,24,273,56,12,0,4,35,4,1,51,0,3,3.41,4.13,1.44,122.9,101.2,1.88,3300
구승민,2015,롯데,25,11,0,0,3,0,2,0,0,29,33,33,140,46,4,2,9,9,0,2,20,0,4,10.24,7.41,1.9,49.2,67.7,-0.58,2900
